Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone
367718,Comcast internet and cable service,6/26/2015,26-Jun-15,11:02:54 AM,Customer Care Call,Atlanta,Georgia,30316,Open,Yes
370846,"Comcast deceptive advertising, overage charges",6/28/2015,28-Jun-15,12:08:05 PM,Internet,Atlanta,Georgia,30329,Pending,No
372331,Data usage cap exceeded with overage charges applied,6/29/2015,29-Jun-15,1:49:15 PM,Internet,Atlanta,Georgia,30324,Pending,Yes
373205,Comcast: Xfinity Slamming,6/29/2015,29-Jun-15,5:41:37 PM,Internet,Atlanta,Georgia,30315,Closed,No
375377,Comcast Support Unable to Provide Accurate Information,6/30/2015,30-Jun-15,4:17:34 PM,Internet,Atlanta,Georgia,30328,Open,No
373977,Comcast Data Usage Limits,6/30/2015,30-Jun-15,8:14:37 AM,Internet,Atlanta,Georgia,30342,Pending,No
344456,Repeated Erroneous Modem Rental Charge,6/16/2015,16-Jun-15,8:17:10 PM,Customer Care Call,Atlanta,Georgia,30308,Solved,No
374159,Xfinity pricing,6/30/2015,30-Jun-15,10:33:18 AM,Customer Care Call,Atlantic Beach,Florida,32233,Solved,No
359224,Comcast monopoly,6/23/2015,23-Jun-15,4:22:19 PM,Internet,Attalla,Alabama,35954,Solved,No
274956,Internet connection both upload and download speeds,5/5/2015,5-May-15,7:34:03 PM,Customer Care Call,Attica,Indiana,47918,Open,No
338651,Internet Availability,6/13/2015,13-Jun-15,1:07:20 AM,Internet,Attica,Michigan,48412,Open,No
369453,"Comcast """"50 mb/s"""" speed and throttling",6/26/2015,26-Jun-15,10:15:55 PM,Internet,Auburn,Georgia,30011,Pending,No
221984,Complaint against Comcast,7/4/2015,4-Jul-15,2:43:14 PM,Internet,Auburn,Pennsylvania,17922,Closed,No
346885,General complaint about Comcast service quality and billing practices,6/17/2015,17-Jun-15,6:17:59 PM,Internet,Auburn,Washington,98092,Open,No
359070,Comcast (Xfinity) Monopolistic Billing Practices,6/23/2015,23-Jun-15,3:49:46 PM,Internet,Auburn,Washington,98092,Closed,No
372769,Internet Throttling,6/29/2015,29-Jun-15,3:47:44 PM,Internet,Auburn,Washington,98092,Solved,No
311239,Data usage cap exceeded with overage charges applied,5/28/2015,28-May-15,12:16:01 PM,Internet,Augusta,Georgia,30907,Solved,Yes
339371,double billing after change of service,6/13/2015,13-Jun-15,5:24:59 PM,Internet,Augusta,Georgia,30904,Solved,Yes
360222,Bandwidth Caps becoming excessive,6/23/2015,23-Jun-15,9:36:55 PM,Internet,Augusta,Georgia,30907,Solved,No
370518,Data usage cap exceeded with overage charges applied,6/27/2015,27-Jun-15,8:32:23 PM,Customer Care Call,Augusta,Georgia,30904,Solved,Yes
335988,Unable to cancel xfinity home security,11/6/2015,6-Nov-15,9:11:33 PM,Customer Care Call,Aurora,Colorado,80012,Solved,No
361604,Comcast trying to setup stuff we didn't order,6/24/2015,24-Jun-15,12:16:47 PM,Customer Care Call,Aurora,Colorado,80011,Solved,No
369583,Terrible waiting times,6/27/2015,27-Jun-15,1:21:11 AM,Internet,Aurora,Colorado,80014,Solved,Yes
342399,Incorrect prices for new customers,6/15/2015,15-Jun-15,9:50:41 PM,Customer Care Call,Aurora,Illinois,60503,Open,No
359858,Comcast is throttling my internet,6/23/2015,23-Jun-15,7:16:40 PM,Customer Care Call,Aurora,Illinois,60503,Pending,No
363993,Internet Pricing,6/25/2015,25-Jun-15,9:30:43 AM,Customer Care Call,Aurora,Illinois,60502,Open,No
223256,MISC. CHARGES,8/4/2015,4-Aug-15,7:51:06 AM,Customer Care Call,Austell,Georgia,30106,Closed,No
375093,Data usage cap exceeded with overage charges applied,6/30/2015,30-Jun-15,3:07:14 PM,Customer Care Call,Austell,Georgia,30168,Pending,No
347937,Comcast throttles internet,6/18/2015,18-Jun-15,9:15:45 AM,Customer Care Call,Austin,Texas,78731,Open,No
360286,throttling,6/23/2015,23-Jun-15,10:07:17 PM,Internet,Avon,Colorado,81620,Pending,Yes
279378,Forced Bundling of Internet Service with CATV,7/5/2015,5-Jul-15,9:16:13 PM,Customer Care Call,Ayer,Massachusetts,1432,Open,No
301854,Comcast Internet,5/21/2015,21-May-15,4:31:00 PM,Customer Care Call,Baden,Pennsylvania,15005,Closed,Yes
306805,Failure to deliver service,5/26/2015,26-May-15,11:29:54 AM,Customer Care Call,Bainbridge Island,Washington,98110,Solved,No
373653,Comcast HBO Go PS4 app,6/29/2015,29-Jun-15,8:40:56 PM,Customer Care Call,Bainbridge Island,Washington,98110,Pending,No
304583,Comcast's refusal to recognize written notice of termination of service,5/23/2015,23-May-15,10:37:56 AM,Customer Care Call,Bala Cynwyd,Pennsylvania,19004,Solved,No
324795,General complaint about Comcast service quality and billing practices,5/6/2015,6-May-15,9:59:39 AM,Internet,Bala Cynwyd,Pennsylvania,19004,Closed,No
348338,Termination Fee,6/18/2015,18-Jun-15,11:14:49 AM,Internet,Ballston Lake,New York,12019,Solved,No
241422,Comcast internet/cable,4/17/2015,17-Apr-15,1:21:20 PM,Internet,Baltimore,Maryland,21224,Closed,No
252368,I AM BEING CHARGE DOUBLE FOR MY CABLE BILL.,4/23/2015,23-Apr-15,12:56:29 PM,Customer Care Call,Baltimore,Maryland,21207,Open,No
259003,REPEATED Comcast billing issues,4/27/2015,27-Apr-15,1:35:21 PM,Customer Care Call,Baltimore,Maryland,21239,Closed,No
312881,unauthorized comcast username setup,5/29/2015,29-May-15,6:31:23 AM,Customer Care Call,Baltimore,Maryland,21206,Open,No
319505,Services turned off in retaliation for complaints,2/6/2015,6-Feb-15,5:14:14 PM,Customer Care Call,Baltimore,Maryland,21218,Closed,No
342923,Comcast does not disclose the Internet speed I'm paying for anywhere on my bill or online,6/16/2015,16-Jun-15,11:17:13 AM,Customer Care Call,Baltimore,Maryland,21218,Open,No
343096,Internet speeds disclosure on bill,6/16/2015,16-Jun-15,12:11:39 PM,Internet,Baltimore,Maryland,21218,Solved,No
343625,Internet speed not disclosed,6/16/2015,16-Jun-15,3:09:53 PM,Customer Care Call,Baltimore,Maryland,21237,Solved,No
348974,Intermittent Service,6/18/2015,18-Jun-15,2:04:40 PM,Customer Care Call,Baltimore,Maryland,21209,Solved,No
356080,Comcast billing practices,6/22/2015,22-Jun-15,2:31:19 PM,Internet,Baltimore,Maryland,21218,Solved,No
360196,General complaint about Comcast service quality and billing practices,6/23/2015,23-Jun-15,9:28:56 PM,Internet,Baltimore,Maryland,21225,Solved,No
358485,Consistently Slow and Throttled Internet Speeds,6/23/2015,23-Jun-15,1:56:14 PM,Internet,Baltimore,Maryland,21217,Pending,No
360378,Paying for high speed internet with Comcast. Consistently getting slow service.,6/23/2015,23-Jun-15,10:37:16 PM,Internet,Baltimore,Maryland,21202,Open,No
357904,Comcast Monopoly on Packages is costing me more money for same service,6/23/2015,23-Jun-15,11:49:09 AM,Customer Care Call,Baltimore,Maryland,21212,Solved,No
361480,"hidden fees, dropped internet connection",6/24/2015,24-Jun-15,11:43:44 AM,Internet,Baltimore,Maryland,21224,Solved,Yes
364840,COMCAST HIGH SPEED INTERNET MONOPOLY,6/25/2015,25-Jun-15,12:58:48 PM,Internet,Baltimore,Maryland,21224,Solved,No
368793,ComCast cable In Maryland,6/26/2015,26-Jun-15,4:25:27 PM,Customer Care Call,Baltimore,Maryland,21222,Solved,No
370296,Billing Dispute & Poor Customer Service,6/27/2015,27-Jun-15,5:21:39 PM,Internet,Baltimore,Maryland,21239,Closed,No
373716,Comcast change contract,6/29/2015,29-Jun-15,9:27:12 PM,Customer Care Call,Baltimore,Maryland,21239,Solved,Yes
360325,Comcast throttle,6/23/2015,23-Jun-15,10:16:47 PM,Customer Care Call,Bargersville,Indiana,46106,Pending,No
249688,Xfinity WiFi access,4/22/2015,22-Apr-15,10:53:59 AM,Internet,Barnegat,New Jersey,8005,Closed,No
270364,"No internet, no cable",2/5/2015,5-Feb-15,9:14:09 PM,Customer Care Call,Barrington,Illinois,60010,Open,No
256911,Internet service slow and intermittent,4/25/2015,25-Apr-15,1:09:19 PM,Customer Care Call,Bartlett,Tennessee,38133,Closed,No
332159,Comcast Account,10/6/2015,6-Oct-15,10:09:01 AM,Customer Care Call,Bartlett,Tennessee,38135,Solved,No
294386,Week long issues with speed and no help from comcast,5/18/2015,18-May-15,9:36:31 AM,Internet,Bartonville,Illinois,61607,Solved,No
327139,Data Usage Cap Maine,6/6/2015,6-Jun-15,8:04:42 PM,Customer Care Call,Bath,Maine,4530,Open,No
360806,Comcasts Shady Business Practices,6/24/2015,24-Jun-15,3:43:45 AM,Internet,Battle Ground,Washington,98604,Open,Yes
375249,Comcast cable,6/30/2015,30-Jun-15,3:47:29 PM,Internet,Beach Haven,New Jersey,8008,Pending,No
373009,Comcast Pricing,6/29/2015,29-Jun-15,4:50:06 PM,Internet,Beachwood,New Jersey,8722,Open,No
229055,Comcast Complaint,10/4/2015,4-Oct-15,2:35:54 PM,Internet,Beale Afb,California,95903,Closed,No
365445,General complaint about Comcast service quality and billing practices,6/25/2015,25-Jun-15,2:25:23 PM,Internet,Beaver Falls,Pennsylvania,15010,Solved,No
252877,Comcast Charges,4/23/2015,23-Apr-15,3:20:54 PM,Customer Care Call,Beaverton,Oregon,97005,Open,No
316088,General complaint about Comcast service quality and billing practices,5/31/2015,31-May-15,11:02:38 PM,Customer Care Call,Beaverton,Oregon,97006,Pending,No
297569,Internet needed!,5/19/2015,19-May-15,4:23:00 PM,Internet,Bedford,Indiana,47421,Solved,No
282375,Deceptive Practices,10/5/2015,5-Oct-15,9:54:33 AM,Internet,Bedford,Pennsylvania,15522,Solved,No
249174,Comcast fraud,4/21/2015,21-Apr-15,9:56:13 PM,Internet,Bel Air,Maryland,21014,Closed,No
327919,Complaint CR Comcast Problem - VOIP Phone not working for days,8/6/2015,6-Aug-15,10:23:24 AM,Internet,Bel Air,Maryland,21014,Solved,No
238313,General complaint about Comcast service quality and billing practices,4/15/2015,15-Apr-15,9:40:42 PM,Internet,Belleville,Michigan,48111,Closed,No
226213,Double-billing,9/4/2015,4-Sep-15,12:15:51 PM,Internet,Bellevue,Washington,98004,Closed,No
216441,download speeds slower than dial-up but paying for 25 Mbps,3/4/2015,4-Mar-15,1:41:50 PM,Internet,Bellevue,Washington,98006,Closed,No
364301,Comcast billing error,6/25/2015,25-Jun-15,11:33:32 AM,Internet,Bellingham,Washington,98229,Solved,Yes
367375,Comcast Internet Technical Support,6/26/2015,26-Jun-15,4:54:18 AM,Internet,Bellingham,Washington,98225,Solved,No
